name,name_en,name_local,bbox,center_lat,center_lon,osm_id,admin_level,ref,type
Kathu District,Kathu District,อำเภอกะทู้,"98.2580375,7.867303,98.3645868,7.9708802",0,0,14010448,6,,boundary
Thalang District,Thalang District,อำเภอถลาง,"98.2699504,7.9376009,98.4726592,8.2005776",0,0,14029490,6,,boundary
Mueang Phuket District,Mueang Phuket District,อำเภอเมืองภูเก็ต,"98.272212,7.7331526,98.4829403,7.9695414",0,0,14029495,6,,boundary
Mae Sai District,Mae Sai District,อำเภอแม่สาย,"99.8100892,20.2576789,100.0367995,20.4648135",0,0,15652307,6,,boundary
Chiang Saen District,Chiang Saen District,อำเภอเชียงแสน,"99.9464771,20.182525,100.3224025,20.3987105",0,0,15652433,6,,boundary
Mae Fa Luang District,Mae Fa Luang District,อำเภอแม่ฟ้าหลวง,"99.455719,20.106929,99.8408004,20.394119",0,0,15652513,6,,boundary
Mae Chan District,Mae Chan District,อำเภอแม่จัน,"99.4894774,20.0215171,100.0898043,20.3073004",0,0,15654572,6,,boundary
Doi Luang District,Doi Luang District,อำเภอดอยหลวง,"100.0103932,20.0517845,100.3079678,20.229516",0,0,15654590,6,,boundary
Khwao Sinrin District,Khwao Sinrin District,อำเภอเขวาสินรินทร์,"103.5377632,14.9385551,103.6925764,15.0881105",0,0,17816949,6,,boundary
Huai Rat District,Huai Rat District,อำเภอห้วยราช,"103.1475585,14.9007764,103.3258815,15.1110302",0,0,17817574,6,,boundary
Mueang Buri Ram District,Mueang Buri Ram District,อำเภอเมืองบุรีรัมย์,"102.9130117,14.7533666,103.2106331,15.1431544",0,0,17817575,6,,boundary
Ban Dan District,Ban Dan District,อำเภอบ้านด่าน,"103.1280166,15.0384022,103.2589819,15.2396374",0,0,17817576,6,,boundary
Kham Thale So District,Kham Thale So District,อำเภอขามทะเลสอ,"101.8355283,14.9296019,101.995143,15.1106868",0,0,17824120,6,,boundary
Sung Noen District,Sung Noen District,อำเภอสูงเนิน,"101.6747876,14.6828878,101.9683814,15.0755739",0,0,17824121,6,,boundary
